prediction,actual,correct,prob_up,confidence
0,1,False,0.24875505197479258,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.3837446283313849,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.3837446283313849,1.0
0,0,True,0.3837446283313849,1.0
0,0,True,0.24875505197479258,1.0
0,1,False,0.24875505197479258,1.0
0,1,False,0.3122817070702934,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
1,0,False,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
0,1,False,0.4606081365799834,1.0
1,1,True,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.3122817070702934,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.4606081365799834,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3122817070702934,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.3122817070702934,1.0
0,1,False,0.3122817070702934,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.4606081365799834,1.0
1,0,False,0.6162553716686151,1.0
1,1,True,0.6162553716686151,1.0
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.5,0.9
0,1,False,0.3837446283313849,1.0
1,0,False,0.6162553716686151,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.6162553716686151,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
0,0,True,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,0,True,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,0,True,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,1,True,0.5393918634200167,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.3837446283313849,1.0
0,1,False,0.3122817070702934,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.5,0.9
1,1,True,0.7512449480252075,1.0
1,1,True,0.6877182929297065,1.0
1,0,False,0.7512449480252075,1.0
1,0,False,0.6877182929297065,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
1,1,True,0.8055033689414053,1.0
1,0,False,0.7512449480252075,1.0
1,1,True,0.5393918634200167,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.19449663105859472,1.0
0,1,False,0.3122817070702934,1.0
0,0,True,0.3122817070702934,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.3122817070702934,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3837446283313849,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3837446283313849,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,1,True,0.6162553716686151,1.0
1,1,True,0.7512449480252075,1.0
1,1,True,0.8055033689414053,1.0
1,0,False,0.7512449480252075,1.0
1,0,False,0.6877182929297065,1.0
0,1,False,0.5,0.9
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
1,1,True,0.5393918634200167,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.3837446283313849,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.19449663105859472,1.0
0,1,False,0.24875505197479258,1.0
0,1,False,0.3122817070702934,1.0
0,1,False,0.4606081365799834,1.0
1,0,False,0.6162553716686151,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.6162553716686151,1.0
0,1,False,0.5,0.9
0,0,True,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
1,1,True,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.4606081365799834,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.4606081365799834,1.0
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
1,0,False,0.6162553716686151,1.0
1,0,False,0.6162553716686151,1.0
1,1,True,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.7512449480252075,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.6162553716686151,1.0
1,1,True,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.7512449480252075,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.3837446283313849,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
1,0,False,0.6877182929297065,1.0
1,1,True,0.6877182929297065,1.0
1,1,True,0.6877182929297065,1.0
1,1,True,0.7512449480252075,1.0
1,1,True,0.6162553716686151,1.0
1,1,True,0.6877182929297065,1.0
1,1,True,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
1,1,True,0.7512449480252075,1.0
1,1,True,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.6162553716686151,1.0
0,1,False,0.5,0.9
1,1,True,0.5393918634200167,1.0
1,0,False,0.6162553716686151,1.0
1,0,False,0.6162553716686151,1.0
1,0,False,0.6877182929297065,1.0
1,1,True,0.6162553716686151,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.3122817070702934,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.19449663105859472,1.0
0,1,False,0.11378675500778929,1.0
0,0,True,0.3122817070702934,1.0
0,0,True,0.24875505197479258,1.0
0,1,False,0.3122817070702934,1.0
0,0,True,0.5,0.9
0,1,False,0.3122817070702934,1.0
0,0,True,0.4606081365799834,1.0
0,0,True,0.3122817070702934,1.0
0,0,True,0.19449663105859472,1.0
0,0,True,0.19449663105859472,1.0
0,0,True,0.19449663105859472,1.0
0,0,True,0.19449663105859472,1.0
0,1,False,0.24875505197479258,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.3837446283313849,1.0
1,1,True,0.5393918634200167,1.0
1,0,False,0.6162553716686151,1.0
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
1,0,False,0.6162553716686151,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.3122817070702934,1.0
0,0,True,0.3837446283313849,1.0
0,0,True,0.4606081365799834,1.0
1,0,False,0.5393918634200167,1.0
0,0,True,0.3122817070702934,1.0
0,1,False,0.14971450226502148,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
1,1,True,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
1,1,True,0.6162553716686151,1.0
1,1,True,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.6162553716686151,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,0,True,0.3837446283313849,1.0
0,0,True,0.24875505197479258,1.0
0,1,False,0.19449663105859472,1.0
0,0,True,0.24875505197479258,1.0
0,0,True,0.24875505197479258,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
1,1,True,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,0,True,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.3122817070702934,1.0
0,0,True,0.3837446283313849,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
0,0,True,0.5,0.9
0,1,False,0.3837446283313849,1.0
0,1,False,0.5,0.9
0,1,False,0.5,0.9
1,1,True,0.6162553716686151,1.0
1,0,False,0.7512449480252075,1.0
1,1,True,0.8055033689414053,1.0
1,1,True,0.7512449480252075,1.0
1,1,True,0.7512449480252075,1.0
1,1,True,0.6162553716686151,1.0
1,0,False,0.6162553716686151,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,0,True,0.5,0.9
0,1,False,0.4606081365799834,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
0,1,False,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,0,True,0.5,0.9
0,1,False,0.5,0.9
1,0,False,0.5393918634200167,1.0
1,0,False,0.5393918634200167,1.0
0,1,False,0.3837446283313849,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.3837446283313849,1.0
0,1,False,0.5,0.9
1,1,True,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
1,0,False,0.6877182929297065,1.0
0,1,False,0.4606081365799834,1.0
0,0,True,0.4606081365799834,1.0
0,1,False,0.4606081365799834,1.0
0,1,False,0.5,0.9
